day,tick,v7_total,v7_pepper,v7_osmium,v8_total,v8_pepper,v8_osmium
-1,0,0,0,0,0,0,0
-1,1000,-709,-709,0,-709,-709,0
-1,2000,-509,-509,0,-509,-509,0
-1,3000,-541,-549,8,-541,-549,8
-1,4000,-333,-349,16,-333,-349,16
-1,5000,-381,-389,8,-381,-389,8
-1,6000,-169,-189,20,-169,-189,20
-1,7000,-85,-109,24,-85,-109,24
-1,8000,104,91,13,104,91,13
-1,9000,58,51,7,58,51,7
-1,10000,107,11,96,107,11,96
-1,11000,301,331,-30,301,331,-30
-1,12000,368,291,77,368,291,77
-1,13000,448,371,77,448,371,77
-1,14000,231,451,-220,231,451,-220
-1,15000,592,531,60,592,531,60
-1,16000,927,731,196,927,731,196
-1,17000,898,691,208,898,691,208
-1,18000,1013,771,242,1013,771,242
-1,19000,1024,851,173,1024,851,173
-1,20000,1162,931,231,1162,931,231
-1,21000,1335,1131,204,1335,1131,204
-1,22000,1241,1091,150,1241,1091,150
-1,23000,1236,1051,185,1236,1051,185
-1,24000,1450,1251,199,1450,1251,199
-1,25000,1595,1331,264,1595,1331,264
-1,26000,1850,1531,319,1850,1531,319
-1,27000,1667,1371,296,1667,1371,296
-1,28000,1914,1571,343,1914,1571,343
-1,29000,2088,1651,437,2088,1651,437
-1,30000,1961,1571,390,1961,1571,390
-1,31000,1674,1331,343,1674,1331,343
-1,32000,2234,1891,343,2234,1891,343
-1,33000,2150,1971,178,2150,1971,178
-1,34000,2441,2051,390,2441,2051,390
-1,35000,2521,2131,390,2521,2131,390
-1,36000,2554,2211,343,2554,2211,343
-1,37000,2704,2291,414,2704,2291,414
-1,38000,2863,2371,492,2863,2371,492
-1,39000,2726,2331,394,2726,2331,394
-1,40000,2984,2531,453,2984,2531,453
-1,41000,2866,2491,375,2866,2491,375
-1,42000,2598,2291,307,2598,2291,307
-1,43000,2456,2251,205,2456,2251,205
-1,44000,3532,2851,681,3532,2851,681
-1,45000,3278,2931,347,3278,2931,347
-1,46000,2810,3011,-201,2810,3011,-201
-1,47000,3230,2971,260,3230,2971,260
-1,48000,3762,3291,471,3762,3291,471
-1,49000,3769,3251,518,3769,3251,518
-1,50000,3782,3331,451,3782,3331,451
-1,51000,3957,3411,546,3957,3411,546
-1,52000,3828,3491,337,3828,3491,337
-1,53000,3946,3571,375,3946,3571,375
-1,54000,3884,3531,353,3884,3531,353
-1,55000,4273,3851,422,4273,3851,422
-1,56000,4095,3811,284,4095,3811,284
-1,57000,4216,3771,445,4216,3771,445
-1,58000,3939,3971,-32,3939,3971,-32
-1,59000,4523,4051,472,4523,4051,472
-1,60000,4421,4011,410,4421,4011,410
-1,61000,4621,4211,410,4621,4211,410
-1,62000,4841,4291,550,4841,4291,550
-1,63000,4921,4371,550,4921,4371,550
-1,64000,4803,4451,352,4803,4451,352
-1,65000,4883,4531,352,4883,4531,352
-1,66000,4395,4611,-216,4395,4611,-216
-1,67000,5659,4691,968,5659,4691,968
-1,68000,4555,4771,-216,4555,4771,-216
-1,69000,4303,4371,-68,4303,4371,-68
-1,70000,5166,4531,635,5166,4531,635
-1,71000,5535,5011,524,5535,5011,524
-1,72000,5615,5091,524,5615,5091,524
-1,73000,6347,5651,696,6347,5651,696
-1,74000,5547,5251,296,5547,5251,296
-1,75000,6027,5331,696,6027,5331,696
-1,76000,6307,5531,776,6307,5531,776
-1,77000,6347,5491,856,6347,5491,856
-1,78000,6267,5571,696,6267,5571,696
-1,79000,6547,5651,896,6547,5651,896
-1,80000,6412,5731,681,6412,5731,681
-1,81000,6567,5811,756,6567,5811,756
-1,82000,6302,5771,531,6302,5771,531
-1,83000,6937,6331,606,6937,6331,606
-1,84000,6801,6051,750,6801,6051,750
-1,85000,7445,6131,1314,7445,6131,1314
-1,86000,7667,6211,1456,7667,6211,1456
-1,87000,6557,5811,746,6557,5811,746
-1,88000,7379,6491,888,7379,6491,888
-1,89000,6900,6331,568,6900,6331,568
-1,90000,7419,6531,888,7419,6531,888
-1,91000,7499,6611,888,7499,6611,888
-1,92000,7508,6691,817,7508,6691,817
-1,93000,8050,6771,1278,8050,6771,1278
-1,94000,7739,6851,888,7739,6851,888
-1,95000,7726,7051,675,7726,7051,675
-1,96000,7544,7011,533,7544,7011,533
-1,97000,7624,7091,533,7624,7091,533
-1,98000,7775,7171,604,7775,7171,604
-1,99000,7942,7251,691,7942,7251,691
